1,2,3,,,county,travel_mode,sum
Alameda, Drove alone,303748,,,Alameda, Drove alone,417210
Alameda, Carpooled,41827,,,Alameda, Carpooled,64930
Alameda,Public transportation,32379,,,Alameda,Public transportation,82102
Alameda,Other travel mode,78815,,,Alameda,Other travel mode,82740
Alameda, Drove alone,32219,,,Contra Costa, Drove alone,312657
Alameda, Carpooled,3855,,,Contra Costa, Carpooled,53061
Alameda,Public transportation,2065,,,Contra Costa,Public transportation,42581
Alameda,Other travel mode,874,,,Contra Costa,Other travel mode,41874
Alameda, Drove alone,3387,,,Marin, Drove alone,76889
Alameda, Carpooled,601,,,Marin, Carpooled,10422
Alameda,Public transportation,80,,,Marin,Public transportation,10591
Alameda,Other travel mode,42,,,Marin,Other travel mode,19155
Alameda, Drove alone,277,,,Napa, Drove alone,43568
Alameda, Carpooled,88,,,Napa, Carpooled,6803
Alameda, Drove alone,21529,,,Napa,Public transportation,576
Alameda, Carpooled,8989,,,Napa,Other travel mode,7163
Alameda,Public transportation,44744,,,San Francisco, Drove alone,129781
Alameda,Other travel mode,2297,,,San Francisco, Carpooled,28785
Alameda, Drove alone,55358,,,San Francisco,Public transportation,139401
Alameda, Carpooled,9511,,,San Francisco,Other travel mode,99249
Alameda,Public transportation,2799,,,San Mateo, Drove alone,103060
Alameda,Other travel mode,712,,,San Mateo, Carpooled,17089
Alameda, Drove alone,692,,,San Mateo,Public transportation,23315
Alameda, Carpooled,59,,,San Mateo,Other travel mode,3808
Alameda,Public transportation,35,,,Santa Clara, Drove alone,598738
Butte County, Drove alone,129,,,Santa Clara, Carpooled,81248
Butte County, Carpooled,71,,,Santa Clara,Public transportation,26076
Butte County,Public transportation,17,,,Santa Clara,Other travel mode,79377
Butte County, Drove alone,124,,,Solano, Drove alone,0
Butte County, Carpooled,1,,,Solano, Carpooled,0
Butte County, Drove alone,43,,,Solano,Public transportation,0
Butte County, Drove alone,13,,,Solano,Other travel mode,0
Butte County, Carpooled,56,,,Sonoma, Drove alone,166799
Butte County, Drove alone,137,,,Sonoma, Carpooled,22482
Butte County, Carpooled,47,,,Sonoma,Public transportation,3991
Butte County, Drove alone,100,,,Sonoma,Other travel mode,26221
Butte County, Carpooled,29,,,,,
Contra Costa, Drove alone,73467,,,,,
Contra Costa, Carpooled,10760,,,,,
Contra Costa,Public transportation,8776,,,,,
Contra Costa,Other travel mode,1500,,,,,
Contra Costa, Drove alone,205031,,,,,
Contra Costa, Carpooled,29923,,,,,
Contra Costa,Public transportation,6375,,,,,
Contra Costa,Other travel mode,38895,,,,,
Contra Costa, Drove alone,6191,,,,,
Contra Costa, Carpooled,1382,,,,,
Contra Costa,Public transportation,228,,,,,
Contra Costa,Other travel mode,165,,,,,
Contra Costa, Drove alone,1236,,,,,
Contra Costa, Carpooled,64,,,,,
Contra Costa,Public transportation,17,,,,,
Contra Costa,Other travel mode,15,,,,,
Contra Costa, Drove alone,15591,,,,,
Contra Costa, Carpooled,8717,,,,,
Contra Costa,Public transportation,26764,,,,,
Contra Costa,Other travel mode,1134,,,,,
Contra Costa, Drove alone,10335,,,,,
Contra Costa, Carpooled,1949,,,,,
Contra Costa,Public transportation,421,,,,,
Contra Costa,Other travel mode,165,,,,,
Contra Costa, Drove alone,806,,,,,
Contra Costa, Carpooled,266,,,,,
El Dorado County, Drove alone,317,,,,,
El Dorado County, Carpooled,39,,,,,
El Dorado County,Public transportation,54,,,,,
El Dorado County, Drove alone,236,,,,,
El Dorado County, Carpooled,51,,,,,
El Dorado County, Drove alone,34,,,,,
El Dorado County, Carpooled,11,,,,,
El Dorado County, Drove alone,51,,,,,
El Dorado County, Drove alone,125,,,,,
El Dorado County, Carpooled,99,,,,,
El Dorado County,Public transportation,48,,,,,
El Dorado County,Other travel mode,16,,,,,
El Dorado County, Drove alone,390,,,,,
El Dorado County,Public transportation,63,,,,,
El Dorado County,Other travel mode,16,,,,,
El Dorado County, Drove alone,63,,,,,
Fresno County, Drove alone,203,,,,,
Fresno County, Carpooled,17,,,,,
Fresno County,Public transportation,8,,,,,
Fresno County,Other travel mode,19,,,,,
Fresno County, Drove alone,20,,,,,
Fresno County, Carpooled,16,,,,,
Fresno County,Other travel mode,10,,,,,
Fresno County, Drove alone,28,,,,,
Fresno County,Public transportation,28,,,,,
Fresno County, Drove alone,329,,,,,
Fresno County, Carpooled,64,,,,,
Fresno County,Other travel mode,51,,,,,
Kern County, Drove alone,83,,,,,
Kern County,Other travel mode,7,,,,,
Kern County, Drove alone,25,,,,,
Kern County, Carpooled,26,,,,,
Kern County, Drove alone,72,,,,,
Kern County, Carpooled,22,,,,,
Kings County, Drove alone,19,,,,,
Kings County, Carpooled,44,,,,,
Kings County, Drove alone,28,,,,,
Kings County, Carpooled,48,,,,,
Los Angeles County, Drove alone,579,,,,,
Los Angeles County, Carpooled,79,,,,,
Los Angeles County,Public transportation,68,,,,,
Los Angeles County,Other travel mode,187,,,,,
Los Angeles County, Drove alone,250,,,,,
Los Angeles County, Carpooled,45,,,,,
Los Angeles County,Other travel mode,1,,,,,
Los Angeles County, Drove alone,106,,,,,
Los Angeles County, Carpooled,9,,,,,
Los Angeles County,Other travel mode,34,,,,,
