State FIPS,R County FIPS Code,R State Name,R County,R Metropolitan Statistical Area FIPS Code,R  Metropolitan Statistical Area of County,State FIPS Code,County FIPS Code,State Name,County,Metropolitan Statistical Area FIPS Code,Metropolitan Statistical Area of County,travel_mode,workers_in
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,303748
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,41827
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,32379
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,78815
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,32219
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,3855
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,2065
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,874
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,3387
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,601
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,80
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,42
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA", Drove alone,277
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA", Carpooled,88
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,21529
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,8989
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,44744
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,2297
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,55358
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,9511
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Public transportation,2799
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Other travel mode,712
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Drove alone,692
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Carpooled,59
6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA",Public transportation,35
6,7,California,Butte County,17020,"Chico, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,129
6,7,California,Butte County,17020,"Chico, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,71
6,7,California,Butte County,17020,"Chico, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,17
6,7,California,Butte County,17020,"Chico, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,124
6,7,California,Butte County,17020,"Chico, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,1
6,7,California,Butte County,17020,"Chico, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,43
6,7,California,Butte County,17020,"Chico, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,13
6,7,California,Butte County,17020,"Chico, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,56
6,7,California,Butte County,17020,"Chico, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,137
6,7,California,Butte County,17020,"Chico, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,47
6,7,California,Butte County,17020,"Chico, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Drove alone,100
6,7,California,Butte County,17020,"Chico, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Carpooled,29
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,73467
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,10760
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,8776
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,1500
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,205031
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,29923
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,6375
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,38895
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,6191
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,1382
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,228
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,165
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA", Drove alone,1236
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA", Carpooled,64
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA",Public transportation,17
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA",Other travel mode,15
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,15591
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,8717
