Cnty,FIPS,St Name,Area,Annual Average Pay
1,06001,California,"Alameda County, California",63533
13,06014,California,"Contra Costa County, California",60855
41,06041,California,"Marin County, California",59427
55,06055,California,"Napa County, California",47089
75,06075,California,"San Francisco County, California",85788
85,06085,California,"Santa Clara County, California",98576
97,06097,California,"Sonoma County, California",45416
81,06081,California,"San Mateo, California",103431
,,,,
5,New York,"Bronx County, New York",46827,
81,New York,"Queens County, New York",46238,
